date,business_id,sold_lots,gmv_usd_current_fx,skipped_fx_lots,gmv_native_by_currency
2025-09-04,GD,1195,2221957.79,0,"{""CAD"":484322,""USD"":1880993.53}"
2025-09-04,GI,365,497568.51,0,"{""EUR"":17225,""GBP"":1100,""USD"":476448.01}"
2025-09-05,AD,824,89245.23,0,"{""USD"":89245.23}"
2025-09-05,ALL,1910,2126890.59,0,"{""BRL"":142500,""CAD"":143235,""USD"":1998497.44}"
2025-09-05,GD,1072,1997553.18,0,"{""CAD"":143235,""USD"":1896715.28}"
2025-09-05,GI,14,40092.17,0,"{""BRL"":142500,""USD"":12536.93}"
2025-09-06,AD,757,14142.13,0,"{""USD"":14142.13}"
2025-09-06,ALL,1163,519427.01,0,"{""CAD"":1025,""USD"":518705.41}"
2025-09-06,GD,406,505284.88,0,"{""CAD"":1025,""USD"":504563.28}"
2025-09-07,AD,815,16118.57,0,"{""USD"":16118.57}"
2025-09-07,ALL,1271,536986.62,0,"{""CAD"":38877,""USD"":509617.09}"
2025-09-07,GD,456,520868.05,0,"{""CAD"":38877,""USD"":493498.52}"
2025-09-08,AD,779,19229.64,0,"{""USD"":19229.64}"
2025-09-08,ALL,1935,2527906.71,0,"{""BRL"":129160,""CAD"":118998.42,""MXN"":144926,""USD"":2410866.26}"
2025-09-08,GD,1154,2475411.89,0,"{""CAD"":118998.42,""USD"":2391636.62}"
2025-09-08,GI,2,33265.18,0,"{""BRL"":129160,""MXN"":144926}"
2025-09-09,AD,813,22764.11,0,"{""USD"":22764.11}"
2025-09-09,ALL,2799,4291724.31,0,"{""BRL"":282761,""CAD"":170741,""EUR"":204145,""MXN"":36267,""USD"":3881688.01,""ZAR"":554.99}"
2025-09-09,GD,1952,3444985.81,0,"{""CAD"":170741,""USD"":3324783.59}"
2025-09-09,GI,34,823974.39,0,"{""BRL"":282761,""EUR"":204145,""MXN"":36267,""USD"":534140.31,""ZAR"":554.99}"
2025-09-10,AD,831,14755.48,0,"{""USD"":14755.48}"
2025-09-10,ALL,2362,5394622.41,0,"{""BRL"":38652,""CAD"":145138,""EUR"":3872,""MXN"":373242,""USD"":5259201.7}"
2025-09-10,GD,1518,5335623.84,0,"{""CAD"":145138,""USD"":5233446.22}"
2025-09-10,GI,13,44243.09,0,"{""BRL"":38652,""EUR"":3872,""MXN"":373242,""USD"":11000}"
2025-09-11,AD,826,236362.81,0,"{""USD"":236362.81}"
2025-09-11,ALL,2218,4208658.81,0,"{""BRL"":275339,""CAD"":383442,""MXN"":247094,""USD"":3519848.52,""ZAR"":5772000}"
2025-09-11,GD,1262,3507500.12,0,"{""CAD"":383442,""USD"":3237555.71}"
2025-09-11,GI,130,464795.88,0,"{""BRL"":275339,""MXN"":247094,""USD"":45930,""ZAR"":5772000}"
2025-09-12,AD,820,14488.06,0,"{""USD"":14488.06}"
2025-09-12,ALL,1922,2667795.93,0,"{""AUD"":117,""BRL"":147010,""CAD"":80178,""EUR"":9425,""USD"":2572083.02}"
2025-09-12,GD,1085,2551659.36,0,"{""CAD"":80178,""USD"":2495213.79}"
2025-09-12,GI,17,101648.51,0,"{""AUD"":117,""BRL"":147010,""EUR"":9425,""USD"":62381.17}"
2025-09-13,AD,796,14077.61,0,"{""USD"":14077.61}"
2025-09-13,ALL,1205,409789,0,"{""CAD"":3260,""USD"":407493.95}"
2025-09-13,GD,409,395711.39,0,"{""CAD"":3260,""USD"":393416.34}"
2025-09-14,AD,712,13198.76,0,"{""USD"":13198.76}"
2025-09-14,ALL,1139,1025426,0,"{""CAD"":2550,""USD"":1023630.79}"
2025-09-14,GD,427,1012227.24,0,"{""CAD"":2550,""USD"":1010432.03}"
2025-09-15,AD,676,35998.23,0,"{""USD"":35998.23}"
2025-09-15,ALL,2317,3808739.95,0,"{""BRL"":51000,""CAD"":187670.52,""USD"":3666757.42}"
2025-09-15,GD,1640,3762879.84,0,"{""CAD"":187670.52,""USD"":3630759.19}"
2025-09-15,GI,1,9861.88,0,"{""BRL"":51000}"
2025-09-16,AD,855,144621.57,0,"{""USD"":144621.57}"
